"ID";"Geslacht";"Leeftijd";"Migratieachtergrond";"Generatie";"Perioden";"TotaalVerdachtenVanMisdrijven_1"
"7647";"T001038";"52020";"2012605";"2013357";"2014JJ00";"8780"
"7648";"T001038";"52020";"2012605";"2013357";"2015JJ00";"8710"
"7649";"T001038";"52020";"2012605";"2013357";"2016JJ00";"7860"
"7650";"T001038";"52020";"2012605";"2013357";"2017JJ00";"6750"
"7651";"T001038";"52020";"2012605";"2013357";"2018JJ00";"5990"
"7652";"T001038";"52020";"2012605";"2013357";"2019JJ00";"6690"
"7653";"T001038";"52020";"2012605";"2013357";"2020JJ00";"5720"
"7654";"T001038";"52020";"2012605";"2013357";"2021JJ00";"5080"
"7655";"T001038";"52020";"2012605";"2013357";"2022JJ00";"5400"
"7669";"T001038";"52020";"2012605";"2820719";"2012JJ00";"500"
"7670";"T001038";"52020";"2012605";"2820719";"2013JJ00";"410"
"7671";"T001038";"52020";"2012605";"2820719";"2014JJ00";"330"
"7672";"T001038";"52020";"2012605";"2820719";"2015JJ00";"380"
"7673";"T001038";"52020";"2012605";"2820719";"2016JJ00";"380"
"7674";"T001038";"52020";"2012605";"2820719";"2017JJ00";"330"
"7675";"T001038";"52020";"2012605";"2820719";"2018JJ00";"420"
"7676";"T001038";"52020";"2012605";"2820719";"2019JJ00";"410"
"7677";"T001038";"52020";"2012605";"2820719";"2020JJ00";"330"
"7678";"T001038";"52020";"2012605";"2820719";"2021JJ00";"350"
"7679";"T001038";"52020";"2012605";"2820719";"2022JJ00";"530"
"14797";"T001038";"53105";"T001040";"T001040";"2012JJ00";"61470"
"14798";"T001038";"53105";"T001040";"T001040";"2013JJ00";"55070"
"14799";"T001038";"53105";"T001040";"T001040";"2014JJ00";"49910"
"14800";"T001038";"53105";"T001040";"T001040";"2015JJ00";"44130"
"14801";"T001038";"53105";"T001040";"T001040";"2016JJ00";"40350"
"14802";"T001038";"53105";"T001040";"T001040";"2017JJ00";"37170"
"14803";"T001038";"53105";"T001040";"T001040";"2018JJ00";"35640"
"14804";"T001038";"53105";"T001040";"T001040";"2019JJ00";"36870"
"14805";"T001038";"53105";"T001040";"T001040";"2020JJ00";"35530"
"14806";"T001038";"53105";"T001040";"T001040";"2021JJ00";"33560"
"14807";"T001038";"53105";"T001040";"T001040";"2022JJ00";"36490"
"14821";"T001038";"53105";"T001040";"2013356";"2012JJ00";"8100"
"14822";"T001038";"53105";"T001040";"2013356";"2013JJ00";"7240"
"14823";"T001038";"53105";"T001040";"2013356";"2014JJ00";"6360"
"14824";"T001038";"53105";"T001040";"2013356";"2015JJ00";"5630"
"14825";"T001038";"53105";"T001040";"2013356";"2016JJ00";"5150"
"14826";"T001038";"53105";"T001040";"2013356";"2017JJ00";"4890"
"14827";"T001038";"53105";"T001040";"2013356";"2018JJ00";"5530"
"14828";"T001038";"53105";"T001040";"2013356";"2019JJ00";"5770"
"14829";"T001038";"53105";"T001040";"2013356";"2020JJ00";"5410"
"14830";"T001038";"53105";"T001040";"2013356";"2021JJ00";"4830"
"14831";"T001038";"53105";"T001040";"2013356";"2022JJ00";"5550"
"14845";"T001038";"53105";"T001040";"2013357";"2012JJ00";"16210"
"14846";"T001038";"53105";"T001040";"2013357";"2013JJ00";"15320"
"14847";"T001038";"53105";"T001040";"2013357";"2014JJ00";"14200"
"14848";"T001038";"53105";"T001040";"2013357";"2015JJ00";"12940"
"14849";"T001038";"53105";"T001040";"2013357";"2016JJ00";"11940"
"14850";"T001038";"53105";"T001040";"2013357";"2017JJ00";"10970"
"14851";"T001038";"53105";"T001040";"2013357";"2018JJ00";"10690"
"14852";"T001038";"53105";"T001040";"2013357";"2019JJ00";"11250"
"14853";"T001038";"53105";"T001040";"2013357";"2020JJ00";"11350"
"14854";"T001038";"53105";"T001040";"2013357";"2021JJ00";"10260"
"14855";"T001038";"53105";"T001040";"2013357";"2022JJ00";"9990"
"14869";"T001038";"53105";"T001040";"2820719";"2012JJ00";"5200"
"14870";"T001038";"53105";"T001040";"2820719";"2013JJ00";"4700"
"14871";"T001038";"53105";"T001040";"2820719";"2014JJ00";"4230"
"14872";"T001038";"53105";"T001040";"2820719";"2015JJ00";"3780"
"14873";"T001038";"53105";"T001040";"2820719";"2016JJ00";"3650"
"14874";"T001038";"53105";"T001040";"2820719";"2017JJ00";"3360"
"14875";"T001038";"53105";"T001040";"2820719";"2018JJ00";"2640"
"14876";"T001038";"53105";"T001040";"2820719";"2019JJ00";"2500"
"14877";"T001038";"53105";"T001040";"2820719";"2020JJ00";"2490"
"14878";"T001038";"53105";"T001040";"2820719";"2021JJ00";"2400"
"14879";"T001038";"53105";"T001040";"2820719";"2022JJ00";"3720"
"14893";"T001038";"53105";"1012600";"T001040";"2012JJ00";"31960"
"14894";"T001038";"53105";"1012600";"T001040";"2013JJ00";"27800"
"14895";"T001038";"53105";"1012600";"T001040";"2014JJ00";"25120"
"14896";"T001038";"53105";"1012600";"T001040";"2015JJ00";"21770"
"14897";"T001038";"53105";"1012600";"T001040";"2016JJ00";"19620"
"14898";"T001038";"53105";"1012600";"T001040";"2017JJ00";"17940"
"14899";"T001038";"53105";"1012600";"T001040";"2018JJ00";"16770"
"14900";"T001038";"53105";"1012600";"T001040";"2019JJ00";"17360"
"14901";"T001038";"53105";"1012600";"T001040";"2020JJ00";"16280"
"14902";"T001038";"53105";"1012600";"T001040";"2021JJ00";"16070"
"14903";"T001038";"53105";"1012600";"T001040";"2022JJ00";"17230"
"14917";"T001038";"53105";"1012600";"2013356";"2012JJ00";
"14918";"T001038";"53105";"1012600";"2013356";"2013JJ00";
"14919";"T001038";"53105";"1012600";"2013356";"2014JJ00";
"14920";"T001038";"53105";"1012600";"2013356";"2015JJ00";
"14921";"T001038";"53105";"1012600";"2013356";"2016JJ00";
"14922";"T001038";"53105";"1012600";"2013356";"2017JJ00";
"14923";"T001038";"53105";"1012600";"2013356";"2018JJ00";
"14924";"T001038";"53105";"1012600";"2013356";"2019JJ00";
"14925";"T001038";"53105";"1012600";"2013356";"2020JJ00";
"14926";"T001038";"53105";"1012600";"2013356";"2021JJ00";
